Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x107e,75095.91,6269.9925,5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",9,10,20.53,8.0,Standard,989.71,24.21913739089471,12 Years and 0 Months,Yes,78446.0,__10000__,Low_spent_Medium_value_payments,234.06656029063686,2024-11-01
CUS_0x10b3,136150.6,11127.883333333331,1,5,9,3,"Student Loan, Student Loan, and Auto Loan",10,3,10.72,3.0,_,260.29,35.958594509030085,27 Years and 4 Months,NM,177.65407218247665,1302.3574307873828,Low_spent_Small_value_payments,898.3588009083421,2024-11-01
CUS_0x10df,9929.235,828.4362500000002,4,8,23,3,"Not Specified, Auto Loan, and Student Loan",16,18_,11.5,14.0,Standard,2328.08,36.50926646104516,7 Years and 2 Months,Yes,18.120966441843297,74.96443136195327,Low_spent_Small_value_payments,260.9159334781246,2024-11-01
CUS_0x10e7,64933.76,5368.1466666666665,3,3,33,-100,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,13.04,11.0,Standard,2699.17_,24.95863819730197,14 Years and 4 Months,Yes,193.69258208877807,186.14666535889234,High_spent_Medium_value_payments,406.9754192189962,2024-11-01
CUS_0x1144,135851.24,11418.936666666665,4,4,18,2,"Home Equity Loan, and Auto Loan",28,19,11.19,13.0,Standard,695.12,32.631874548192144,25 Years and 2 Months,Yes,206.55719362380657,1139.0837370941445,Low_spent_Medium_value_payments,76.25273594871554,2024-11-01
CUS_0x1152,31316.47,2510.705833333333,0,2,6,2,"Payday Loan, and Personal Loan",13,5,5.44,1.0,Good,800.89,36.4516560517456,18 Years and 6 Months,No,26959.0,124.97678843365013,High_spent_Small_value_payments,355.2718152011777,2024-11-01
CUS_0x11ae,14550.52,1392.543333333333,7,10,25,9,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Personal Loan, Auto Loan, Home Equity Loan, Auto Loan, and Personal Loan",43,20,23.08,6.0,_,4444.99,25.56948290194817,11 Years and 0 Months,Yes,95.91103044567788,123.13871021618077,Low_spent_Small_value_payments,210.2045926714747,2024-11-01
CUS_0x1231,30739.3_,2298.608333333333,4,4,13,6,"Student Loan, Personal Loan, Payday Loan, Payday Loan, Student Loan, and Student Loan",15,8,16.7,5.0,Standard,1365.58,23.40314239952093,18 Years and 2 Months,Yes,135.2381410533745,106.45326410182086,High_spent_Small_value_payments,248.16942817813796,2024-11-01
CUS_0x126d,34710.6_,3170.55,6,3,20,-100,"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Student Loan, Payday Loan, Not Specified, and Mortgage Loan",22,10,14.76,10.0,Standard,1462.53,33.989022524206824,15 Years and 0 Months,Yes,197.1080745500404,324.46240797716166,Low_spent_Small_value_payments,85.48451747279788,2024-11-01
CUS_0x127d,15096.85,1033.0708333333334,8,6,20,4,"Home Equity Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",18,20,8.76,6.0,_,1928.03,32.5165585073259,17 Years and 3 Months,Yes,35.31355866891549,63.66859960550003,High_spent_Small_value_payments,264.3249250589178,2024-11-01
