Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1057,86617.16,7250.096666666667,8,4,6,3,"Auto Loan, Student Loan, and Payday Loan",16,21,7.26,4.0,Standard,718.53,35.55554010560421,24 Years and 11 Months,No,141.3820546343075,976.1638750557892,!@9#%8,636.422471527819,2023-09-01
CUS_0x1169,115324.62,9772.385,2,5,8,4,"Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",9,6,5.5,3.0,Good,1316.45,40.506395476913774,23 Years and 11 Months,No,199.25125980012183,380.2486071571585,High_spent_Small_value_payments,657.7386330427197,2023-09-01
CUS_0x117d,70779.18,5861.264999999999,1,4,9,4,"Student Loan, Student Loan, Not Specified, and Debt Consolidation Loan",14,-2,3.61,4.0,Good,1340.31,25.856378034105678,21 Years and 5 Months,No,131.34831160336728,300.6020796271049,High_spent_Small_value_payments,414.17610876952784,2023-09-01
CUS_0x1182,176696.88,13780.774640498716,5,7,12,4,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, and Not Specified",4,8,4.01,6.0,Good,433.68,41.770112169625456,17 Years and 2 Months,No,1169.8091164964517,320.0541317814041,High_spent_Large_value_payments,1022.7368432457347,2023-09-01
CUS_0x11c6,16523.745,1516.97875,1,4,1,4,"Student Loan, Credit-Builder Loan, Payday Loan, and Home Equity Loan",8,8,10.06,4.0,Good,455.49,31.799772350690677,25 Years and 11 Months,No,52.216169090547005,54.26625355446494,Low_spent_Medium_value_payments,325.21545235498814,2023-09-01
CUS_0x1246,22188.45,2006.0375,1,5,498,1,Auto Loan,24,1,3.87,7.0,Good,1352.38,36.34397503429316,16 Years and 5 Months,No,10.011417582528251,153.11466390499174,Low_spent_Small_value_payments,327.47766851247997,2023-09-01
CUS_0x12bf,97976.08_,8136.673333333332,8,6,12,2,"Mortgage Loan, and Credit-Builder Loan",16,8,6.03,5.0,_,1113.49,34.214581014747246,28 Years and 2 Months,Yes,115.08732513084908,1039.3739975905096,Low_spent_Small_value_payments,770.585212250888,2023-09-01
CUS_0x12ec,45675.0,3635.25,8,5,28,4,"Home Equity Loan, Personal Loan, Mortgage Loan, and Mortgage Loan",23,13,10.51,8.0,Standard,1771.8,37.76324165915254,6 Years and 5 Months,Yes,134.27025580809507,146.5630863778551,High_spent_Medium_value_payments,332.69165781404985,2023-09-01
CUS_0x1330,30874.43,2595.869166666667,4,5,8,2,"Mortgage Loan, and Credit-Builder Loan",10,5,3.82,2.0,Good,243.11,26.63543442440361,22 Years and 2 Months,NM,48.26786997081568,67.90948238094776,High_spent_Small_value_payments,403.40956431490326,2023-09-01
CUS_0x141c,20202.22,1480.5183333333334,7,723,18,3,"Student Loan, Home Equity Loan, and Mortgage Loan",12,17,_,4.0,_,197.54,38.86562266239842,18 Years and 5 Months,Yes,43.32669047486176,138.32009805802295,Low_spent_Small_value_payments,256.4050448004486,2023-09-01
CUS_0x1430,20048.23,1637.6858333333332,2,6,9,4,"Payday Loan, Student Loan, Home Equity Loan, and Payday Loan",15,7,5.01,4.0,Good,224.98,34.599995987321854,19 Years and 4 Months,No,41.94727190884624,198.11193585851467,Low_spent_Small_value_payments,213.70937556597244,2023-09-01
CUS_0x14d1,53770.11,4666.8425,8,8,17,5,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Personal Loan, and Student Loan",42,17,18.75,17.0,Standard,2028.19,29.0029014675133,17 Years and 10 Months,Yes,204.4701376732153,136.49553398892124,High_spent_Medium_value_payments,375.71857833786345,2023-09-01
CUS_0x14de,53709.66,4375.805,10,10,29,8,"Mortgage Loan, Student Loan, Personal Loan, Not Specified, Credit-Builder Loan, Student Loan, Personal Loan, and Payday Loan",24,15,21.47,12.0,Bad,3069.57,38.992908876683714,9 Years and 9 Months,Yes,321.4931551719688,60.52977871240101,High_spent_Large_value_payments,295.5575661156301,2023-09-01
CUS_0x14e5,7981.345_,412.11208333333326,9,5,22,9,"Student Loan, Credit-Builder Loan, Payday Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, and Not Specified",46,17,25.96,9.0,Bad,4064.57,39.12539514956893,0 Years and 11 Months,Yes,57.93168879536229,28.48164005972581,Low_spent_Medium_value_payments,234.7978794782452,2023-09-01
CUS_0x1619,20059.98,1523.665,8,5,12,966,"Home Equity Loan, Payday Loan, Not Specified, and Personal Loan",25,11,2.97,8.0,Good,909.01,32.47377275901753,16 Years and 10 Months,No,45.07682694067719,__10000__,Low_spent_Small_value_payments,267.1849850078536,2023-09-01
CUS_0x1666,9603.845,510.3204166666666,4,3,14,1,Auto Loan,30,12,0.30000000000000004,9.0,Standard,1451.72,23.215638657109743,33 Years and 5 Months,Yes,5.262291048154371,36.97395845809465,Low_spent_Small_value_payments,298.79579216041765,2023-09-01
CUS_0x16f8,66681.8,5278.816666666667,2,1,11,0,,4,12,3.55,2.0,Good,679.2,29.76804418787517,25 Years and 11 Months,No,0.0,77.6304728981662,High_spent_Medium_value_payments,700.2511937685006,2023-09-01
CUS_0x180a,35911.33_,3003.6108333333336,3,3,2,2,"Not Specified, and Home Equity Loan",9,16,5.5,3.0,Standard,739.82,24.68080569417741,18 Years and 4 Months,No,39.11288223061442,250.37375548953202,!@9#%8,300.87444561318705,2023-09-01
CUS_0x18e2,16906.81,1167.9008333333334,9,8,33,9,"Credit-Builder Loan, Personal Loan, Personal Loan, Not Specified, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",49,21,3.43,6.0,Bad,1559.16_,36.22596555394351,13 Years and 6 Months,Yes,110.78862692730704,74.28348248139855,High_spent_Large_value_payments,235.3753992130817,2023-09-01
CUS_0x1938,31481.45,2834.454166666667,4,3,8,0,,21,15_,11.45,5.0,Good,650.3,30.522471411925743,33 Years and 5 Months,No,0.0,80.64156078658314,High_spent_Medium_value_payments,452.80385588008363,2023-09-01
CUS_0x1abc,28431.06,2610.255,5,6,14,2,"Mortgage Loan, and Home Equity Loan",9,15,8.940000000000003,4.0,_,1098.59,27.012695944096755,23 Years and 0 Months,Yes,31.150497946465048,155.96395843943398,Low_spent_Small_value_payments,363.91104361410095,2023-09-01
CUS_0x1be2,104509.53,8791.1275,8,7,5,3,"Home Equity Loan, Not Specified, and Credit-Builder Loan",30,15,17.31,7.0,Standard,781.83,27.090921411798018,27 Years and 11 Months,Yes,176.24348698377483,309.34307651955226,!@9#%8,673.5261864966732,2023-09-01
CUS_0x1c70,31604.58_,2378.715,1,2,10,4,"Auto Loan, Not Specified, Student Loan, and Auto Loan",9,6,2.86,3.0,Good,946.91,34.57481503487476,18 Years and 2 Months,No,65.50581842815559,45.553531068539826,High_spent_Large_value_payments,366.8121505033046,2023-09-01
CUS_0x1c89,8723.565,506.96375,1201,10,33,9,"Payday Loan, Payday Loan, Payday Loan, Mortgage Loan, Not Specified, Home Equity Loan, Personal Loan, Debt Consolidation Loan, and Credit-Builder Loan",45,25,16.6,14.0,Bad,4200.42,33.51217254362699,13 Years and 0 Months,Yes,45.16312883070099,18.583838342178773,Low_spent_Medium_value_payments,266.94940782712024,2023-09-01
CUS_0x1ccf,8381.025,852.4187499999998,6,769,22,2,"Home Equity Loan, and Home Equity Loan",57,20,0.5099999999999998,8.0,Bad,1465.19,39.44097661389702,6 Years and 6 Months,Yes,7.348140838048644,57.10982305744441,Low_spent_Small_value_payments,310.78391110450696,2023-09-01
CUS_0x1d56,53127.72,4655.31,7,6,34,3,"Not Specified, Personal Loan, and Mortgage Loan",37,16,7.04,16.0,Standard,1752.55,42.423540202527626,20 Years and 6 Months,Yes,87.57835313396869,103.17892100284077,High_spent_Medium_value_payments,524.7737258631906,2023-09-01
CUS_0x1d64,73627.68,6280.639999999999,6,6,19,2,"Debt Consolidation Loan, and Personal Loan",13,13,16.71,6.0,Standard,946.92,25.8302849725812,26 Years and 2 Months,Yes,67.09929401286057,168.4992473451706,Low_spent_Medium_value_payments,672.4654586419688,2023-09-01
CUS_0x1d86,47725.98,4099.164999999999,7,8,32,3,"Auto Loan, Mortgage Loan, and Payday Loan",45,11_,10.52,15.0,Standard,2554.95,29.027303240925303,14 Years and 2 Months,Yes,65.9700019542524,420.8290955812909,Low_spent_Small_value_payments,213.11740246445663,2023-09-01
CUS_0x1e46,70481.19,5584.4325,8,5,16,0_,,26,10,5.75,4.0,Standard,1087.1,37.11595419472757,26 Years and 3 Months,Yes,0.0,61.58962120312695,High_spent_Medium_value_payments,746.8536287968732,2023-09-01
CUS_0x1f2c,83722.16,7270.846666666667,3,3,1,3,"Not Specified, Home Equity Loan, and Not Specified",0,6,10.9,4.0,_,964.15,42.05453583071868,16 Years and 9 Months,No,157.9707494237666,147.61790867264074,High_spent_Large_value_payments,661.4960085702594,2023-09-01
CUS_0x1f60,34266.08,3038.5066666666667,8,9,21,6,"Payday Loan, Personal Loan, Payday Loan, Mortgage Loan, Not Specified, and Debt Consolidation Loan",17,10,10.07,7.0,_,1843.93,27.518295180048145,11 Years and 5 Months,Yes,161.84401052451256,305.5157209739947,Low_spent_Small_value_payments,126.49093516815941,2023-09-01
CUS_0x1fa0,72140.06999999999,5777.6725,6,5,3813,1,Personal Loan,23,9,19.52,5.0,Standard,638.12,33.240019005747506,28 Years and 5 Months,Yes,52.44882185907356,183.5350533575821,High_spent_Small_value_payments,601.7833747833445,2023-09-01
CUS_0x2002,72305.9,5766.491666666666,5,7,15,-100,"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Not Specified",15,19,1.49,6.0,_,1169.62,27.905666886895915,28 Years and 4 Months,NM,216.77629790517,__10000__,Low_spent_Small_value_payments,181.33070883768875,2023-09-01
CUS_0x206b,47641.53,4194.127500000001,7,7,28,7,"Home Equity Loan, Home Equity Loan, Payday Loan, Personal Loan, Student Loan, Mortgage Loan, and Payday Loan",52,23,4.94,9.0,Bad,2150.59,26.09342916871025,15 Years and 6 Months,Yes,161.74768540935835,67.01372370082542,High_spent_Large_value_payments,430.6513408898163,2023-09-01
CUS_0x210d,15447.63,1005.3025,3,4,27,-100,"Home Equity Loan, Mortgage Loan, and Home Equity Loan",24,10,15.91,8.0,Standard,2461.68,28.97642767042,6 Years and 5 Months,NM,37.983305158917965,60.99484096436017,Low_spent_Medium_value_payments,281.5521038767219,2023-09-01
CUS_0x215d,14244.33,1099.0275,6,7,29,6,"Student Loan, Mortgage Loan, Student Loan, Personal Loan, Not Specified, and Mortgage Loan",23,18,0.91,7.0,Bad,2216.82,23.87402586574132,17 Years and 9 Months,Yes,65.01423256591002,133.7181809992321,Low_spent_Small_value_payments,201.17033643485792,2023-09-01
CUS_0x219c,30812.96_,2422.7466666666664,1,7,3,1,Credit-Builder Loan,10,5,8.21,4.0,Good,990.47,36.4972289633766,29 Years and 8 Months,No,24.06489015682753,123.81989578660331,Low_spent_Small_value_payments,384.38988072323576,2023-09-01
CUS_0x21cd,34570.08,3102.84,3,7,7,1,Debt Consolidation Loan,4,0,7.63,3.0,_,200.32,27.773631129632825,19 Years and 9 Months,No,17.07800659892723,119.800916853749,Low_spent_Large_value_payments,443.40507654732386,2023-09-01
CUS_0x21f7,131040.42,11104.035,3,1,7,0,,12,11,2.88,8.0,Good,650.28,39.05348412377516,19 Years and 3 Months,No,0.0,751.2058100021907,Low_spent_Medium_value_payments,639.1976899978093,2023-09-01
CUS_0x2217,28481.67,2441.4725,0,3,9,2,"Home Equity Loan, and Student Loan",9,1,7.45,3.0,Good,104.85,37.35128716907708,31 Years and 2 Months,No,46.99155012123087,66.68332477406409,Low_spent_Medium_value_payments,410.47237510470495,2023-09-01
CUS_0x23bf,69806.76,6055.23,3,4,19,0,,18,19,0.4900000000000002,8.0,_,192.43,33.158035081686634,19 Years and 0 Months,Yes,0.0,406.5695363201909,High_spent_Small_value_payments,458.9534636798092,2023-09-01
CUS_0x2441,38117.06,3245.421666666666,8,5,34,6,"Credit-Builder Loan, Mortgage Loan, Payday Loan, Student Loan, Student Loan, and Not Specified",20,24,26.16,15.0,Bad,2639.35,27.501403377974466,8 Years and 6 Months,Yes,143.5088552873968,95.92687172181627,High_spent_Medium_value_payments,335.1064396574536,2023-09-01
CUS_0x2488,98455.26,8420.605,4,4,12,3,"Student Loan, Personal Loan, and Not Specified",26,20,4.24,2.0,Standard,424.3,34.515852541285845,22 Years and 11 Months,No,238.35823891868188,304.9126262922482,Low_spent_Small_value_payments,588.7896347890701,2023-09-01
